Kabupaten/Kota,Pengeluaran per Kapita (Minggu),Rata-rata Pengeluaran Rokok Perkapita Seminggu
Simeulue,141750,21224.32
Aceh Singkil,172962,20336.85
Aceh Selatan,160635,25418.42
Aceh Tenggara,158115,22941.60
Aceh Timur,175519,28301.91
Aceh Tengah,210712,25063.90
Aceh Barat,187981,29389.57
Aceh Besar,190269,15647.48
Pidie,196365,19162.55
Bireuen,181500,19287.21
Aceh Utara,165769,16148.91
Aceh Barat Daya,166365,24442.14
Gayo Lues,174885,21901.07
Aceh Tamiang,168442,17014.34
Nagan Raya,165019,33069.53
Aceh Jaya,193096,28988.15
Bener Meriah,219635,21471.99
Pidie Jaya,205788,21658.21
Kota Banda Aceh,331308,16325.36
Kota Sabang,226538,25990.92
Kota Langsa,237558,21513.62
Kota Lhokseumawe,225019,11338.14
Kota Subulussalam,147865,23185.08
Nias,138385,8252.30
Mandailing Natal,193481,26332.59
Tapanuli Selatan,225519,19581.82
Tapanuli Tengah,201827,24409.51
Tapanuli Utara,228692,20960.86
Toba Samosir / Toba,239904,22837.31
Labuhan Batu,220654,19845.17
Asahan,221442,23022.30
Simalungun,221615,25407.78
Dairi,206538,23324.90
Karo,241423,29894.13
Deli Serdang,243404,15593.69
Langkat,219981,19212.44
Nias Selatan,138365,6910.61
Humbang Hasundutan,158654,22231.94
Pakpak Bharat,164577,24283.52
Samosir,172904,26009.26
Serdang Bedagai,221135,20461.29
Batu Bara,206827,23228.71
Padang Lawas Utara,200904,28321.48
Padang Lawas,177058,24974.64
Labuhan Batu Selatan,225981,26243.65
Labuhan Batu Utara,235731,25257.97
Nias Utara,126442,10751.84
Nias Barat,118308,6668.44
Kota Sibolga,233365,22885.38
Kota Tanjung Balai,222865,21889.93
Kota Pematang Siantar,245077,18039.35
Kota Tebing Tinggi,252769,13702.26
Kota Medan,298135,15067.55
Kota Binjai,218423,13648.47
Kota Padangsidimpuan,218019,23360.04
Kota Gunungsitoli,162192,7719.19
Kepulauan Mentawai,126288,21402.34
Pesisir Selatan,186269,23699.07
Solok,202673,28790.88
Sijunjung,203500,24375.54
Tanah Datar,205673,24060.45
Padang Pariaman,214596,21668.67
Agam,195596,22519.44
Lima Puluh Kota,192981,23973.00
Pasaman,165750,20882.18
Solok Selatan,203077,30617.09
Dharmasraya,224038,28587.43
Pasaman Barat,180404,32307.28
Kota Padang,286327,21513.77
Kota Solok,240673,26112.91
Kota Sawah Lunto,202635,23859.10
Kota Padang Panjang,214481,17840.93
Kota Bukittinggi,262173,19596.23
Kota Payakumbuh,263212,22640.73
Kota Pariaman,252885,21147.34
Kuantan Singingi,204750,22242.92
Indragiri Hulu,201385,21923.93
Indragiri Hilir,196808,19169.43
Pelalawan,233904,21864.50
Siak,235192,22045.67
Kampar,219115,26329.23
Rokan Hulu,189250,26623.12
Bengkalis,228019,21249.14
Rokan Hilir,190500,24027.29
Kepulauan Meranti,158577,19985.72
Kota Pekanbaru,284692,20186.43
Kota Dumai,235558,27352.17
Kerinci,203269,27467.70
Merangin,206038,23908.58
Sarolangun,232096,24824.70
Batang Hari,195635,20412.72
Muaro Jambi,175346,23332.24
Tanjung Jabung Timur,182750,25992.30
Tanjung Jabung Barat,191692,20453.39
Tebo,206250,18379.39
Bungo,229923,26162.56
Kota Jambi,242250,17632.58
Kota Sungai Penuh,206635,27377.53
Ogan Komering Ulu,201904,18832.24
Ogan Komering Ilir,216365,22142.03
Muara Enim,217385,18587.07
Lahat,198000,24524.75
Musi Rawas,194365,18626.45
Musi Banyuasin,201019,21932.41
Banyu Asin,198058,20946.01
Ogan Komering Ulu Selatan,171058,20631.45
Ogan Komering Ulu Timur,226135,17179.11
Ogan Ilir,212865,20990.88
Empat Lawang,189192,19481.01
Penukal Abab Lematang Ilir,166923,17390.11
Musi Rawas Utara,197750,18654.18
Kota Palembang,291692,16295.50
Kota Prabumulih,252038,13514.08
Kota Pagar Alam,179423,18763.10
Kota Lubuklinggau,266000,14656.93
Bengkulu Selatan,198423,21193.70
Rejang Lebong,202827,18396.83
Bengkulu Utara,207192,22161.43
Kaur,173250,25522.39
Seluma,166481,26043.84
