Kabupaten_Kota;Pengeluaran_per_Kapita_(Orang/Tahun);Rata-rata_Pengeluaran_Rokok_Perkapita_Seminggu 
Simeulue;7371000;21224.32
Aceh Singkil;8994000;20336.85
Aceh Selatan;8353000;25418.42
Aceh Tenggara;8222000;22941.60
Aceh Timur;9127000;28301.91
Aceh Tengah;10957000;25063.90
Aceh Barat;9775000;29389.57
Aceh Besar;9894000;15647.48
Pidie;10211000;19162.55
Bireuen;9438000;19287.21
Aceh Utara;8620000;16148.91
Aceh Barat Daya;8651000;24442.14
Gayo Lues;9094000;21901.07
Aceh Tamiang;8759000;17014.34
Nagan Raya;8581000;33069.53
Aceh Jaya;10041000;28988.15
Bener Meriah;11421000;21471.99
Pidie Jaya;10701000;21658.21
Kota Banda Aceh;17228000;16325.36
Kota Sabang;11780000;25990.92
Kota Langsa;12353000;21513.62
Kota Lhokseumawe;11701000;11338.14
Kota Subulussalam;7689000;23185.08
Nias;7196000;8252.30
Mandailing Natal;10061000;26332.59
Tapanuli Selatan;11727000;19581.82
Tapanuli Tengah;10495000;24409.51
Tapanuli Utara;11892000;20960.86
Toba Samosir / Toba;12475000;22837.31
Labuhan Batu;11474000;19845.17
Asahan;11515000;23022.30
Simalungun;11524000;25407.78
Dairi;10740000;23324.90
Karo;12554000;29894.13
Deli Serdang;12657000;15593.69
Langkat;11439000;19212.44
Nias Selatan;7195000;6910.61
Humbang Hasundutan;8250000;22231.94
Pakpak Bharat;8558000;24283.52
Samosir;8991000;26009.26
Serdang Bedagai;11499000;20461.29
Batu Bara;10755000;23228.71
Padang Lawas Utara;10447000;28321.48
Padang Lawas;9207000;24974.64
Labuhan Batu Selatan;11751000;26243.65
Labuhan Batu Utara;12258000;25257.97
Nias Utara;6575000;10751.84
Nias Barat;6152000;6668.44
Kota Sibolga;12135000;22885.38
Kota Tanjung Balai;11589000;21889.93
Kota Pematang Siantar;12744000;18039.35
Kota Tebing Tinggi;13144000;13702.26
Kota Medan;15503000;15067.55
Kota Binjai;11358000;13648.47
Kota Padangsidimpuan;11337000;23360.04
Kota Gunungsitoli;8434000;7719.19
Kepulauan Mentawai;6567000;21402.34
Pesisir Selatan;9686000;23699.07
Solok;10539000;28790.88
Sijunjung;10582000;24375.54
Tanah Datar;10695000;24060.45
Padang Pariaman;11159000;21668.67
Agam;10171000;22519.44
Lima Puluh Kota;10035000;23973.00
Pasaman;8619000;20882.18
Solok Selatan;10560000;30617.09
Dharmasraya;11650000;28587.43
Pasaman Barat;9381000;32307.28
Kota Padang;14889000;21513.77
Kota Solok;12515000;26112.91
Kota Sawah Lunto;10537000;23859.10
Kota Padang Panjang;11153000;17840.93
Kota Bukittinggi;13633000;19596.23
Kota Payakumbuh;13687000;22640.73
Kota Pariaman;13150000;21147.34
Kuantan Singingi;10647000;22242.92
Indragiri Hulu;10472000;21923.93
Indragiri Hilir;10234000;19169.43
Pelalawan;12163000;21864.50
Siak;12230000;22045.67
Kampar;11394000;26329.23
Rokan Hulu;9841000;26623.12
Bengkalis;11857000;21249.14
Rokan Hilir;9906000;24027.29
Kepulauan Meranti;8246000;19985.72
Kota Pekanbaru;14804000;20186.43
Kota Dumai;12249000;27352.17
Kerinci;10570000;27467.70
Merangin;10714000;23908.58
Sarolangun;12069000;24824.70
Batang Hari;10173000;20412.72
Muaro Jambi;9118000;23332.24
Tanjung Jabung Timur;9503000;25992.30
Tanjung Jabung Barat;9968000;20453.39
Tebo;10725000;18379.39
Bungo;11956000;26162.56
Kota Jambi;12597000;17632.58
Kota Sungai Penuh;10745000;27377.53
Ogan Komering Ulu;10499000;18832.24
Ogan Komering Ilir;11251000;22142.03
Muara Enim;11304000;18587.07
Lahat;10296000;24524.75
Musi Rawas;10107000;18626.45
Musi Banyuasin;10453000;21932.41
Banyu Asin;10299000;20946.01
Ogan Komering Ulu Selatan;8895000;20631.45
Ogan Komering Ulu Timur;11759000;17179.11
Ogan Ilir;11069000;20990.88
Empat Lawang;9838000;19481.01
Penukal Abab Lematang Ilir;8680000;17390.11
Musi Rawas Utara;10283000;18654.18
Kota Palembang;15168000;16295.50
Kota Prabumulih;13106000;13514.08
Kota Pagar Alam;9330000;18763.10
Kota Lubuklinggau;13832000;14656.93
Bengkulu Selatan;10318000;21193.70
Rejang Lebong;10547000;18396.83
Bengkulu Utara;10774000;22161.43
Kaur;9009000;25522.39
Seluma;8657000;26043.84
Mukomuko;10747000;29988.39
Lebong;11644000;25792.32
Kepahiang;9708000;19420.08
Bengkulu Tengah;9697000;21705.62
Kota Bengkulu;14503000;22795.36
Lampung Barat;10175000;20188.05
Tanggamus;9557000;19946.78
Lampung Selatan;10266000;22619.53
Lampung Timur;10403000;20383.24
Lampung Tengah;11710000;18761.86
Lampung Utara;8951000;19869.61
Way Kanan;9450000;21192.16
Tulangbawang;11114000;21880.80
Pesawaran;8192000;20465.69
Pringsewu;10577000;18443.55
Mesuji;8466000;24255.05
Tulang Bawang Barat;8737000;21414.27
Pesisir Barat;8663000;24325.08
Kota Bandar Lampung;12593000;26234.34
Kota Metro;12233000;20149.67
Bangka;12863000;26736.75
Belitung;14045000;26508.97
Bangka Barat;12790000;30371.43
Bangka Tengah;13422000;34053.09
Bangka Selatan;12341000;29493.66
Belitung Timur;12357000;37826.99
Kota Pangkal Pinang;16307000;20796.70
Karimun;12304000;15397.66
Bintan;14739000;16641.89
Natuna;14834000;18636.93
Lingga;12134000;19639.66
Kepulauan Anambas;12137000;26018.77
Kota Batam;18506000;17255.51
Kota Tanjung Pinang;15864000;13392.59
Kep. Seribu;12999000;23866.11
Kota Jakarta Selatan;24221000;16670.89
Kota Jakarta Timur;18199000;13603.56
Kota Jakarta Pusat;17765000;15089.80
Kota Jakarta Barat;21357000;16635.12
Kota Jakarta Utara;19201000;18476.30
Bogor;10860000;23353.36
Sukabumi;9210000;24338.88
Cianjur;8244000;21376.38
Bandung;10588000;18753.79
Garut;8227000;20914.05
Tasikmalaya;8177000;19496.86
Ciamis;9428000;24834.05
Kuningan;9620000;21518.97
Cirebon;10791000;20104.94
Majalengka;9950000;21985.02
Sumedang;10776000;23483.18
Indramayu;10166000;26615.40
Subang;11294000;24779.09
Purwakarta;12193000;28439.17
Karawang;11927000;22558.62
Bekasi;11757000;19668.34
Bandung Barat;9044000;23802.33
Pangandaran;9389000;27300.29
Kota Bogor;12058000;19255.80
Kota Sukabumi;11229000;19514.61
Kota Bandung;17639000;19908.41
Kota Cirebon;12087000;15859.50
Kota Bekasi;16239000;17258.17
Kota Depok;15926000;20210.65
Kota Cimahi;12500000;18367.75
Kota Tasikmalaya;10578000;17706.20
Kota Banjar;10967000;21813.79
Cilacap;10904000;17511.26
Banyumas;11905000;16959.28
Purbalingga;10277000;16858.85
Banjarnegara;9776000;18808.68
Kebumen;9282000;15337.20
Purworejo;10671000;12569.00
Wonosobo;11108000;17747.78
Magelang;10011000;14322.00
Boyolali;13250000;17707.99
Klaten;12522000;13458.49
Sukoharjo;11841000;12156.07
Wonogiri;9780000;14661.91
Karanganyar;11798000;13987.66
Sragen;13052000;18456.73
Grobogan;10610000;18539.28
Blora;10067000;18636.59
Rembang;10937000;22954.57
Pati;10948000;20094.16
Kudus;11609000;15905.81
Jepara;10913000;20325.73
Demak;10698000;23611.67
